"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15552.59","295.59","1.94","12/25"
"東證一部","1496.03","26.83","1.83","12/25"
"東證二部","3224.80","4.63","0.14","12/25"
"JASDAQ","71.69","0.42","0.59","12/25"
"上海綜合","5201.18","-33.08","-0.63","12/25"
"上海A股","5458.22","-34.91","-0.64","12/25"
"上海B股","360.43","0.26","0.07","12/25"
"滬深300","5216.81","9.68","0.19","12/25"
"香港恆生","28128.80","501.88","1.82","12/24"
"香港國企","16422.61","440.80","2.76","12/24"
"香港紅籌","6184.94","171.60","2.85","12/24"
"台灣加權","8167.07","31.59","0.39","12/25"
"台灣店頭","143.51","1.14","0.80","12/25"
"韓國指數","1919.47","41.15","2.19","12/24"
"新加坡","3434.53","36.43","1.07","12/24"
"馬來西亞","1423.24","19.68","1.40","12/24"
"菲律賓","3532.98","41.02","1.17","12/21"
"印尼股市","2657.98","11.75","0.44","12/19"
"越南股市","918.43","-12.43","-1.34","12/25"
"泰國股市","843.28","29.68","3.65","12/25"
"印度股市","19854.12","691.55","3.61","12/24"
"澳洲股市","6388.00","78.60","1.25","12/24"
"紐西蘭","4058.71","65.20","1.63","12/24"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2293.03","-10.25","-0.45","12/25"
"英國指數","6479.30","0.00","0.00","12/25"
"法國指數","5614.28","11.51","0.21","12/24"
"德國指數","8002.67","133.48","1.70","12/21"
"道瓊歐洲","4384.55","69.85","1.62","12/21"
"土耳其","55380.65","-129.81","-0.23","12/25"
"匈牙利","26053.91","503.44","1.97","12/21"
"奧地利","4477.11","53.21","1.20","12/21"
"波蘭股市","55792.46","482.62","0.87","12/21"
"捷克股市","1769.00","-25.60","-1.43","12/21"
"盧森堡","2332.08","37.54","1.64","12/21"
"義大利","29095.00","237.00","0.82","12/21"
"西班牙","1654.97","15.27","0.93","12/21"
"瑞士股市","8468.37","65.53","0.78","12/21"
"瑞典股市","1078.93","18.94","1.79","12/21"
"芬蘭股市","11619.20","292.87","2.59","12/21"
"挪威股市","412.88","10.05","2.49","12/21"
"以色列","1230.71","7.07","0.58","12/25"
"埃及股市","91690.76","-100.09","-0.11","12/25"
"南非股市","26868.14","161.29","0.60","12/24"
"摩洛哥","25327.26","0.00","0.00","12/21"
"約旦指數","7352.34","97.02","1.34","12/24"
"杜拜指數","5992.21","130.54","2.23","12/25"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13549.33","98.68","0.73","12/24"
"NASDAQ","2713.50","21.51","0.80","12/24"
"羅素2000","794.39","8.79","1.12","12/24"
"S&P 500","1496.45","11.99","0.81","12/24"
"費城金銀","168.95","0.99","0.59","12/24"
"DJ貴金屬","344.09","1.81","0.53","12/24"
"CBOE黃金","170.05","1.07","0.63","12/24"
"AMEX金蟲","396.73","-1.82","-0.46","12/24"
"AMEX能源","797.29","5.21","0.66","12/24"
"NYSE能源","15277.13","102.84","0.68","12/24"
"費城油業","303.79","3.36","1.12","12/24"
"AMEX石油","1560.37","13.02","0.84","12/24"
"費城半導","418.41","2.20","0.53","12/24"
"NSDQ金融","2942.40","26.92","0.92","12/24"
"NYSE金融","8440.48","129.85","1.56","12/24"
"NBI生技","859.98","6.04","0.71","12/24"
"AMEX生技","811.88","0.77","0.10","12/24"
"費城藥物","207.44","0.17","0.08","12/24"
"加拿大","13694.84","98.75","0.73","12/24"
"巴西指數","63097.71","1381.51","2.24","12/21"
"墨西哥","29853.77","215.37","0.73","12/24"
"阿根廷","2145.25","4.94","0.23","12/21"
"智利","3079.97","-5.44","-0.18","12/24"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","9143.00","-93.00","-1.01","12/24"
"波海海峽航運","13603.00","-105.00","-0.77","12/24"
"波海巴拿馬航運","8277.00","-145.00","-1.72","12/24"
"VIX波動率","18.60","0.13","0.70","12/24"
"DJ交通運輸","4706.59","62.54","1.35","12/24"
"道瓊公用事業","540.38","0.06","0.01","12/24"
"歐洲公用事業","359.04","0.65","0.18","12/24"
"全球公用事業","8191.75","2.49","0.03","12/25"
"ISE水指數","90.56","1.02","1.14","12/24"
"道瓊水指數","723.26","2.98","0.41","12/24"
"NSDQ純淨優勢","657.28","7.37","1.13","12/24"
"純淨科技","1581.17","29.13","1.88","12/24"
"WH革新能源","273.76","2.21","0.81","12/24"
"WH乾淨能源","288.36","4.63","1.63","12/24"
"全球乾淨能源","3845.25","0.00","0.00","12/25"
"ISE替代能源","69.76","-0.07","-0.10","12/24"
"全球替代能源","4002.06","-0.44","-0.01","20:04"
"生物能源","686.30","0.04","0.01","20:04"
"AMEX環境服務","1045.10","2.25","0.22","12/24"
"歐洲環境控制","176.00","0.02","0.01","12/24"
"美國環境控制","103.61","0.12","0.12","12/24"
"KLD社會責任","129.50","1.05","0.82","12/24"
"Clvrt社會責任","88.89","0.80","0.91","12/24"
"ISE邪惡指數","131.46","0.71","0.54","12/24"
"MSCI世界能源","297.37","0.08","0.03","12/25"
"MSCI世界原料","294.95","0.73","0.25","12/25"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4380.35","60.09","1.39","12/21"
"Rogers能源","1278.76","24.56","1.96","12/21"
"Rogers金屬","2168.27","41.86","1.97","12/21"
"Rogers農產","1348.33","5.09","0.38","12/21"
"日本不動產","3098.25","133.11","4.49","12/25"
"東證REIT","1877.40","23.78","1.28","12/25"
"澳洲不動產","1697.37","0.00","0.00","12/25"
"新加坡不動產","1285.55","0.00","0.00","06:53"
"恆生地產","37598.35","694.05","1.88","12/24"
"亞洲REIT","162.05","0.22","0.14","08:05"
"英國不動產","1975.07","0.00","0.00","22:53"
"歐陸不動產","2261.66","0.00","0.00","22:53"
"歐洲不動產","2807.92","0.00","0.00","22:53"
"DJ權益REIT","270.14","9.34","3.58","12/24"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"CRB指數","354.75","0.52","0.15","12/24"
"MS商品指數","874.42","8.89","1.03","12/24"
"高盛商品指數","7368.86","19.20","0.26","12/24"
"高盛農產品","389.24","-1.73","-0.44","12/24"
"高盛家畜指數","222.38","-1.45","-0.65","12/24"
"高盛工業金屬","404.22","0.00","0.00","12/24"
"天然氣","580.94","0.08","0.01","12/24"
"AMEX航空","37.10","0.61","1.67","12/24"
"銀行","91.31","1.14","1.26","12/24"
"醫療服務","443.51","2.38","0.54","12/24"
"電腦科技","979.43","9.00","0.93","12/24"
"電腦硬體","246.65","1.93","0.79","12/24"
"保險","4180.11","39.62","0.96","12/24"
"美國紙業","137.17","-0.36","-0.26","12/24"
"零售業","419.42","6.62","1.60","12/24"
"掮客商指數","210.05","0.87","0.42","12/24"
"美元指數","77.57","-0.16","-0.21","12/24"
"歐元指數","144.05","0.48","0.33","12/24"
"日圓指數","87.36","-0.30","-0.34","12/24"
"澳幣指數","87.11","0.54","0.62","12/24"
"30年債券價格","113.78","-0.62","-0.55","12/24"
"30年債殖利率","46.18","0.43","0.94","12/24"
"10年期票利率","42.12","0.44","1.06","12/24"
"5年期票殖利率","36.33","0.49","1.37","12/24"
"3月期票殖利率","32.00","3.00","10.34","12/24"
"Put/Call比例","0.90","0.33","57.89","12/24"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","807.40","-5.60","-0.69","14:36"
"銀","14.43","-0.14","-0.96","23:12"
"白金","1528.00","-8.00","-0.52","15:33"
"鈀","360.00","-2.00","-0.56","15:33"
"銅","3.0667","+0.0000","+0.00","3:03"
"鎳","12.1238","+0.0000","+0.00","3:03"
"鋁","1.0767","+0.0054","+0.51","3:45"
"鋅","1.0794","+0.0000","+0.00","3:03"
"鉛","1.2117","+0.0000","+0.00","3:03"
"黃金期貨","816.500","1.100","0.13","3:03"
"銀期貨","14.660","0.172","1.19","3:03"
"銅期貨","315.350","5.600","1.81","3:03"
"天然氣期","7.025","-0.165","-2.29","3:03"
"布蘭特油期","92.700","0.240","0.26","3:03"
"WTI原油期","94.130","0.820","0.88","3:03"
"玉米期貨","444.000","0.500","0.11","3:03"
"小麥期貨","935.250","-13.750","-1.45","3:03"
"可可粉期","1051.000","-19.000","-1.78","3:03"
"大豆期貨","1199.250","3.250","0.27","3:03"
"咖啡C期","134.200","0.500","0.37","3:03"
"十一號糖","11.050","-0.020","-0.18","3:03"
"二號棉期","66.580","0.410","0.62","3:03"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.4408","0.0013","0.09","5:52"
"英鎊/美元","1.9808","0.0033","0.17","5:53"
"美元/瑞士法郎","1.1574","0.0004","0.03","5:53"
"美元/俄盧布","24.7170","-0.0064","-0.03","5:50"
"美元/匈牙利幣","176.7100","0.2250","0.13","5:52"
"美元/土耳其幣","1.1822","-0.0022","-0.19","4:02"
"美元/南非幣","6.9736","-0.0110","-0.16","5:52"
"美元/日圓","114.1600","-0.1300","-0.11","5:53"
"美元/人民幣","7.3297","-0.0178","-0.24","17:41"
"美元/港幣","7.8058","0.0005","0.01","5:29"
"美元/台幣","32.5050","-0.0170","-0.05","15:59"
"美元/韓圜","940.1000","0.4000","0.04","23:46"
